Id,Seri,Model,Ilan Basligi,Yil,KM,Renk,Ilan Tarihi,Il / Ilce,Fiyat
5921,Civic,1.6i VTEC Eco Executive,EMSALS?ZZZ �ZEL KASA,2018,27,F�me,"05 Ocak
                        2020",Gaziantep?ehitkamil,167.750 TL
5922,Micra,1.2 Match,Sahibinden 2018 1.2 Match Cvt 12.500 Km HATASIZ!!!,2018,12.5,G�m�? Gri,"13 Ocak
                        2020",BursaNil�fer,98.500 TL
5923,C-Elys�e,1.6 HDi  Attraction,Citroen celysee,2015,140,Beyaz,"20 Ocak
                        2020",AntalyaKepez,60.000 TL
5924,323,1.5 1.5i,Mazda 323 family,1999,370,K?rm?z?,"24 Aral?k
                        2019",AntalyaMuratpa?a,25.000 TL
5925,Astra,1.4 T Enjoy Active,bayrak k?rm?z?s? astra,2015,53.9,K?rm?z?,"21 Ocak
                        2020",?stanbulAta?ehir,93.500 TL
5926,Stilo,1.6 Active,SAH?B?NDEN TERTEM?Z ST?LO,2005,164,Siyah,"21 Ocak
                        2020",Ni?deMerkez,37.000 TL
5927,E Serisi,E 200 Elegance,Mercedes e 200,1997,377,Siyah,"20 Ocak
                        2020",?stanbulEsenyurt,46.500 TL
5928,Corsa,1.3 CDTI  Essentia,2013 OPEL CORSA 1.3CDTI ESSENT?A EURO 5,2013,169,G�m�? Gri,"21 Ocak
                        2020",AntalyaKonyaalt?,57.900 TL
5929,C-Elys�e,1.6 HDi  Attraction,PO?NT AUTO'DAN C ELYSEE 2015 MODEL,2015,93,Beyaz,"20 Ocak
                        2020",?stanbulPendik,66.500 TL
5930,Egea,1.3 Multijet Urban,' �OBANO?LUN ' DAN EGEA URBAN BOYASIZ KUSURSUZ 29.000 KM DE,2017,29,Beyaz,"22 Ocak
                        2020",?stanbul�mraniye,91.750 TL
5931,Primera,1.8 Luxury,AC?L BAKIMLI PR?MERA,2001,285,Siyah,"12 Ocak
                        2020",KonyaSel�uklu,23.500 TL
5932,4 Serisi,418d Gran Coupe Prestige,HATASIZ BOYASIZ 4.18d GRAN COUPE,2017,70,Beyaz,"21 Ocak
                        2020",SakaryaAdapazar?,335.000 TL
5933,Primera,2.0 SE,1998 MODEL N?SSAN OTOMAT?K ?ANZUMAN,1998,239,Mavi,"13 Ocak
                        2020",AnkaraYenimahalle,23.950 TL
5934,Astra,1.6 Enjoy,2005 Model Kazas?z De?i?ensiz Temiz Opel Astra Enjoy HB 1.6,2005,164,Beyaz,"21 Ocak
                        2020",Denizli�ivril,58.500 TL
5935,i30,1.6 CRDi Mode,ALA�ATI DAN HYUNDA? ?30 2010 MODEL OTOMAT?K,2010,152,Gri,"20 Ocak
                        2020",?stanbulK���k�ekmece,65.000 TL
5936,C-Elys�e,1.6 HDi  Shine,0 emsalsiz celeyse full,2017,22,Beyaz,"17 Ocak
                        2020",MalatyaBattalgazi,92.500 TL
5937,Linea,1.3 Multijet Active Plus,**TAKS?T SE�ENEKL?**2011 1.3 MJT F?AT L?NEA A?LE ARABASI BAKIMLI,2011,262,G�m�? Gri,"20 Ocak
                        2020",?stanbulBa?c?lar,36.500 TL
5938,Accent Blue,1.6 CRDI Mode Plus,2015 Mart Ay'? �?k??l? Emekliden Hasar Kay?ts?z S?f?r Muayene,2014,190,G�m�? Gri,"20 Ocak
                        2020",?stanbulBa?c?lar,70.000 TL
5939,Egea,1.4 Fire Easy,2016 MODEL 12 B?NDE F?AT 1.4 HATASIZ BOYASIZ SIFIR AYARINDA,2016,12.3,Beyaz,"22 Ocak
                        2020",BursaG�rsu,79.500 TL
5940,Cerato,1.6 CRDi Concept Techno,2018 �IKI?LI SUNROOFLU SIFIR TADINDA GARANT?L? HATASIZ TRAMERS?Z,2017,29,G�m�? Gri,"16 Ocak
                        2020",?stanbulBa?c?lar,135.500 TL
5941,Note,1.6 Tekna,2009 model otomatik note,2009,200,Siyah,"18 Ocak
                        2020",KonyaSel�uklu,55.000 TL
5942,Civic,1.6 VTEC LS,MEMURDAN 2001 HONDA VTEC LS,2001,231,G�m�? Gri,"21 Ocak
                        2020",AdanaSar?�am,43.000 TL
5943,C Serisi,C 200 d BlueTEC AMG,2016 C 200 D AMG HATASIZ BOYASIZ TRAMERS?Z ORJ?NAL 23.500 KMDE,2016,23.535,Beyaz,"20 Ocak
                        2020",AdanaY�re?ir,310.000 TL
5944,C3,1.2 VTi Cool,Tertemiz Kazas?z CitroenC3,2016,30,Beyaz,"19 Ocak
                        2020",?stanbulBa?ak?ehir,88.500 TL
5945,Civic,1.6i VTEC Eco Elegance,OSMAN?YEYE HAYIRLI OLSUN,2017,69,Beyaz,"21 Ocak
                        2020",OsmaniyeMerkez,148.750 TL
5946,Linea,1.3 Multijet Pop,Tertemiz ara� arayanlara,2013,142,Beyaz,"22 Ocak
                        2020",?stanbulK���k�ekmece,55.000 TL
5947,Fiesta,1.5 TDCi Trend,VOSMER BORNOVA 2016 FORD F?ESTA 1.5TDI 75 HP MANUEL,2016,95.178,Beyaz,"21 Ocak
                        2020",?zmirBornova,72.500 TL
5948,B-Max,1.6 Titanium,fiyat d�?t�KAZASIZ BOYASIZ ?LK ELDEN D�?�K KM L? OTOMAT?K B-MAX,2016,34.5,Beyaz,"18 Ocak
                        2020",AnkaraAkyurt,95.750 TL
5949,C4,1.6 e-HDi Confort Plus,Orjinal C4,2012,139,Beyaz,"21 Ocak
                        2020",AnkaraAlt?nda?,82.000 TL
5950,Albea,Sole 1.4 Fire Dynamic,2008 Degi?ensiz Fiat Albea,2008,220,G�m�? Gri,"22 Ocak
                        2020",AksarayMerkez,36.000 TL
5951,5 Serisi,525d xDrive  Premium,VAKUM HAYALET GER? G�R�? ISITMA KOLTUK HAFIZALI KOLTUKLAR,2014,201,Beyaz,"21 Ocak
                        2020",MersinYeni?ehir,260.000 TL
5952,1 Serisi,116d M Plus,2016 MODEL BMW 1.16d M Plus HATASIZ HASAR KAYITSIZ EMSALS?Z,2016,95,Mavi,"21 Ocak
                        2020",ZonguldakMerkez,195.000 TL
5953,5 Serisi,520i Executive,'' AYDINCAN AUTO '' 2016 520? EXECUT?VE SADECE 22.500 KM HATASIZ,2016,22.5,Beyaz,"01 Ocak
                        2020",AntalyaMuratpa?a,315.000 TL
5954,Civic,1.6i VTEC Eco Elegance,MURAT BEYE OPS?YONLUDUR,2013,79,Beyaz,"21 Ocak
                        2020",MersinSilifke,120.500 TL
5955,C Serisi,C 200 d BlueTEC Avantgarde,"HESAPLI 2016 MODEL 2017 �IKI?LI C200d AVANGARDE ESTATE BARI?,TAN",2016,70,Beyaz,"20 Ocak
                        2020",?stanbulKad?k�y,288.500 TL
5956,Focus,1.6 Ghia,Ford Focus �ORUMA CUMA GUNUNE KADAR OPSIYONLANMISTIR.,2002,209,Mavi,"20 Ocak
                        2020",Adana?mamo?lu,38.750 TL
5957,Linea,1.3 Multijet Active Plus,2011 1.3 MULT?JET ACT?VE PLUS HATASIZ HASARSIZ,2011,204,Beyaz,"21 Ocak
                        2020",?anl?urfaHaliliye,36.500 TL
5958,5 Serisi,520d Comfort,ACARDAN 2011 BMW 520 D COMFORT ORJ?NAL,2011,189,Beyaz,"22 Ocak
                        2020",MalatyaYe?ilyurt,172.500 TL
5959,C Serisi,C 200 Komp. Elegance,MERCEDES BENZ C200 KOMPRESSOR PR?NS LPG 2003 MODEL BAKIMLI,2003,360,G�m�? Gri,"21 Ocak
                        2020",KonyaSel�uklu,64.750 TL
5960,C Serisi,C 200 d BlueTEC AMG,Arac?m?z Salim �avu? Beye Opsiyonlanm??t?r,2017,48,Beyaz,"21 Ocak
                        2020",?stanbulB�y�k�ekmece,288.000 TL
5961,Ceed,1.6 CRDi Concept Plus SW,MURAT OTOMOT?V'DEN K?A CONCEPT PLUS,2017,87,Gri,"16 Ocak
                        2020",?stanbulMaltepe,128.000 TL
5962,Egea,1.4 Fire Easy,HATASIZ BOYASIZ ?LK EL,2019,18,Beyaz,"22 Ocak
                        2020",GiresunBulancak,83.500 TL
5963,Note,1.5 dCi Visia,KOCATEPE NISSAN'DAN NOTE 1.5 DCI,2013,175,Beyaz,"20 Ocak
                        2020",Mu?laFethiye,61.000 TL
5964,5 Serisi,520i Comfort,TAMAMINA KRED? 2015 HATASIZ SUNROOF B?-XENON ?�? BEJ COMFORT,2015,89,Beyaz,"21 Ocak
                        2020",?stanbulBa?c?lar,235.000 TL
5965,C5,2.0 HDi SX,bundan daha konforlusu yokk,2003,255,Gri,"18 Ocak
                        2020",DenizliPamukkale,34.000 TL
5966,Accent,1.5 GLS,Kuru? Masrafs?z,1997,170,G�m�? Gri,"20 Ocak
                        2020",Ankara�ankaya,23.750 TL
5967,Micra,1.2 Match,AZ KULLANILMI? SIFIR AYARINDA,2018,3.75,Beyaz,"18 Ocak
                        2020",AntalyaMuratpa?a,98.500 TL
5968,Escort,1.6 CL,2. SAH?B?NDEN 184 KM,1997,184,Bordo,"22 Ocak
                        2020",Kocaeli?zmit,18.900 TL
5969,3,1.5 SkyActive-D Power Sense,2016 MAZDA3 POWER SENSE D?ZEL OTOMAT?K-DER?-ISI�TMA-EKSTRALI-BAY?,2016,98,K?rm?z?,"14 Ocak
                        2020",TrabzonOrtahisar,156.500 TL
5970,3,1.5 SkyActive-D Power,SE�K?N MOTORS TAN 0 KM,2018,0,K?rm?z?,"08 Ocak
                        2020",AntalyaMuratpa?a,197.900 TL
5971,Focus,1.6 TDCi Trend X,Denizli Ya?ar Abimize Opsiyonlanm??t?r,2013,159,Beyaz,"21 Ocak
                        2020",?stanbulAvc?lar,70.750 TL
5972,Astra,1.3 CDTI Sport,2012 MODEL ASTRA SEDAN 138 B?N KM DE,2012,138,F�me,"21 Ocak
                        2020",?stanbulSultangazi,75.000 TL
5973,Mondeo,2.0 Trend,2004 OTOMAT?K MONDEO,2004,327,Mavi,"21 Ocak
                        2020",KayseriKocasinan,32.900 TL
5974,Fiesta,1.4 TDCi Titanium,M&G OTOMOT?VDEN F?ESTA 1.4 TDCI EN DOLU T?TAN?UM X,2012,145,Bordo,"16 Ocak
                        2020",AntalyaMuratpa?a,52.000 TL
5975,3 Serisi,318i Prestige,-KURTULU? OTO PLAZA-2016 BMW 318? 98.000 KM SUNROOF DER? HATASIZ,2016,98,Beyaz,"22 Ocak
                        2020",BursaNil�fer,174.900 TL
5976,Note,1.5 dCi Visia,Hatas?z-Sorunsuz,2009,212,Siyah,"20 Ocak
                        2020",?stanbulKartal,52.500 TL
5977,C Serisi,C 320 Avantgarde,2002 NAD?R TEM?ZL?KTE KALANLARDAN SUNROOF DER? BENZ?N LPG,2002,235,G�m�? Gri,"20 Ocak
                        2020",AntalyaKepez,78.000 TL
5978,Accent Era,1.5 CRDi Mode,Hundai aksent era mode 1.5 dizel,2011,186,Gri,"22 Ocak
                        2020",MersinAnamur,49.500 TL
5979,Cerato,1.5 CRDi EX,Takasl? Acil Sat?l?k Memurdan,2006,380,Gri,"15 Ocak
                        2020",?stanbulSultangazi,38.250 TL
5980,C5,1.6 HDi Dynamique,Ara� 1 haftal???na sat?l?k tir sonra ilandan kalkacakt?r,2011,192,Beyaz,"20 Ocak
                        2020",OrduPer?embe,65.500 TL
5981,Civic,1.6 i ES,Honda Civic,1999,265,Gri,"22 Ocak
                        2020",Diyarbak?rKayap?nar,43.500 TL
5982,E Serisi,E 200 Komp. Avantgarde,2006 MERCEDES KOMPRES�R AVANGARTE SPORT PAKET F1 CAM TAVANLI,2006,270,Siyah,"20 Ocak
                        2020",AnkaraYenimahalle,125.000 TL
5983,Civic,1.6 VTEC ES,194 B?NDE DEG??ENS?Z SARNUFLU,2004,194,Bej,"22 Ocak
                        2020",?zmirBal�ova,51.000 TL
5984,Civic,1.6i VTEC Eco Elegance,BYG MOTORS'DAN 2017 HONDA C?V?C OTOMAT?K ECO ELAGANCE BOYASIZ,2017,77,Siyah,"22 Ocak
                        2020",Kahramanmara?Dulkadiro?lu,138.500 TL
5985,Insignia,2.0 CDTI Edition Elegance,ATA HYUNDA? PLAZADAN 2013 ?NS?GN?A 2.0 CDTI ED?T?ON ELEGANCE OTM,2014,179.971,Beyaz,"22 Ocak
                        2020",Ankara�ankaya,101.750 TL
5986,i30,1.6 CRDi Style,AKAR MOTORS'DAN_2016 ?30_1.6 CRDi STYLE_MANUEL V?TES_ORJ?NAL,2016,82,Beyaz,"21 Ocak
                        2020",?stanbulKad?k�y,89.750 TL
5987,Accent Blue,1.6 CRDI Prime,Hyundai Acsent Blue Dizel Orjinal,2012,147,Beyaz,"21 Ocak
                        2020",�anakkaleMerkez,73.900 TL
5988,7 Serisi,730d xDrive Prestige,HANCAR 2013 7.30d L SO?UTMA-NAV?G.-H.KA�RDON-BAY?-58.000KM,2013,58.09,Siyah,"08 Ocak
                        2020",?stanbulEy�psultan,549.000 TL
5989,626,1.6,SAHB ORJ 90 MDL 1.6 MOTOR LPGL? (KL?MALI) H?D DRKSYN YEN? V?ZEL?,1990,308,?ampanya,"19 Ocak
                        2020",?zmirTire,15.000 TL
5990,Civic,1.6 VTEC ES,IC DI? BEJ,2004,264,Bej,"22 Ocak
                        2020",Adana�ukurova,48.100 TL
5991,Civic,1.6i VTEC Eco Elegance,TEM?Z MASRAFSIZ,2012,160,Beyaz,"20 Ocak
                        2020",?zmirMenderes,106.000 TL
5992,Ceed,1.6 CRDi Concept Plus,cam tavan+sanrof,2013,118,Kahverengi,"21 Ocak
                        2020",BatmanSason,70.000 TL
5993,Accent,1.5 CRDi Admire,2006 model KL?MALI HASAR KAYITSIZ,2006,296.524,Beyaz,"22 Ocak
                        2020",DenizliPamukkale,22.750 TL
5994,Corsa,1.3 CDTI  Essentia,TERTEM?Z HATASIZ BOYASIZ CORSA 1.3 Dizel,2006,128,G�m�? Gri,"21 Ocak
                        2020",BoluMerkez,48.750 TL
5995,323,1.6 1.6i,?LK EL FULL ORJ?NAL,1993,270,K?rm?z?,"06 Ocak
                        2020",IspartaE?irdir,20.500 TL
5996,A6,A6 Sedan 2.0 TDI Quattro,BEREKET'DEN 2017 BOYASIZ AUD? 2.0 TDI QUATTRO 53.000 KM BAY?,2017,53,Gri,"22 Ocak
                        2020",KaramanMerkez,530.000 TL
5997,3,1.6 Impressive,TALHA'DAN 2010 MAZDA 3 OTOMAT?K IMPRESS?VE SUNROOFLU FULL...,2010,155,G�m�? Gri,"18 Ocak
                        2020",Mu?laFethiye,77.500 TL
5998,Escort,1.6 CLX,sahibinden escort,1998,122,?ampanya,"21 Ocak
                        2020",?stanbulSancaktepe,25.500 TL
5999,Civic,1.6i VTEC Eco Elegance,HONDA C?V?C 2012 113 B?N DE ORJ?NAL MASRAFSIZ,2012,113,Beyaz,"20 Ocak
                        2020",?zmir�i?li,113.000 TL
6000,323,1.5 GLX,1.6 16walf sedan 323 MAZDA,1994,238,Bordo,"08 Ocak
                        2020",Manisa?ehzadeler,28.500 TL
6001,A3,A3 Sportback 1.4 TFSI,Y�KSEL OTOMOT?V'DEN2013 AUD? A3 1.4TFS? AMB?T?ON S-TRON?C 140BG,2013,129.9,K?rm?z?,"21 Ocak
                        2020",Rize�ayeli,144.000 TL
6002,Accent,1.3 LS,KL?MALI TEK PAR�A DE???ENL? MASRAFSIZ,1997,139,Gri,"22 Ocak
                        2020",ManisaSoma,22.500 TL
6003,C-Elys�e,1.6 HDi  Attraction,****2016 TEKNO PAKET****C-ELYSEE 1.6 HD? 92HP ATTRACT?ON PAKET *,2016,139,Beyaz,"20 Ocak
                        2020",Ankara�ankaya,59.900 TL
6004,Civic,1.6i VTEC Elegance,ka�?r?lmayacak f?rsat arac?,2007,193,G�m�? Gri,"19 Ocak
                        2020",BurdurBucak,78.500 TL
6005,i20,1.4 MPI Elite,HATASIZ-BOY�ASIZ-9.000 KM-CAM TAVAN-2023 GARANT?L?-FULL,2018,8.9,Gri,"21 Ocak
                        2020",BoluMerkez,125.000 TL
6006,Rio,1.25 CVVT Concept,"�?retmenden Kia Rio Concept Paket, 73binde, Lpgli",2015,73,Beyaz,"16 Ocak
                        2020",Mu?laMente?e,69.500 TL
6007,Ceed,1.6 CRDi Concept Plus,CADDEN?N G�ZDES? BEYAZ KELEBE??M SATI?TA A?RMADZ YAPIMI A?R S�SP,2013,116,Beyaz,"20 Ocak
                        2020",SakaryaErenler,125.700 TL
6008,i20,1.4 CRDi Jump,�OK EKONOM?K HATASIZ BOYASIZ,2016,120,Beyaz,"22 Ocak
                        2020",KastamonuMerkez,76.500 TL
6009,Civic,1.6 LSi,soma'n?n g�zdesi,1997,230,Beyaz,"22 Ocak
                        2020",ManisaSoma,32.500 TL
6010,323,1.6 Familia,TAM OTOMAT?K SORUNSUZ MAZDA,1993,283,Gri,"30 Aral?k
                        2019",Eski?ehirOdunpazar?,18.000 TL
6011,A4,A4 Sedan 2.0 TDI,Birtek'ten 2014 A4 2.0 TDI HATASIZ,2014,138,Siyah,"22 Ocak
                        2020",?stanbulEsenyurt,170.000 TL
6012,Civic,1.6i VTEC Elegance,HONDA PLAZA �AMKIRAN'DAN 2016 Civic 1.6 Elegance Otm LPG'L?,2016,138.99,Beyaz,"21 Ocak
                        2020",?zmirGaziemir,114.500 TL
6013,7 Serisi,725d Pure Excellence,"BMW PREMIUM SELECTION ONAYLI 2017 725D 150.000TL /12 AY%0,39FA?Z",2017,27.552,Gri,"21 Ocak
                        2020",Tekirda?�orlu,945.000 TL
6014,C-Elys�e,1.6 HDi  Exclusive,55 BN KM C?TREON EL?ZE,2016,55,Beyaz,"20 Ocak
                        2020",AntalyaKepez,56.750 TL
6015,Rio,1.5 CRDi Trend,EMSALS?Z R?O ARAYANLARA...,2011,165,G�m�? Gri,"20 Ocak
                        2020",KocaeliG�lc�k,53.400 TL
6016,Linea,1.3 Multijet Active Plus,KAR?ZMA OTOMOT?V'DEN 2013 L?NEA 1.3 M.JET 157.000 KM'DE,2013,157,Beyaz,"21 Ocak
                        2020",KayseriKocasinan,45.750 TL
6017,Micra,1.5 dCi Mood,original temiz micra,2008,160,Siyah,"08 Ocak
                        2020",?zmirKonak,40.000 TL
6018,Focus,1.5 TDCi Trend X,"Birmot 2.EL Eski?ehir'den 2018 Focus 45.000 TL 12 Ay 0,72 Faiz",2018,56.177,Beyaz,"21 Ocak
                        2020",Eski?ehirTepeba??,120.500 TL
6019,Insignia,1.6 CDTI  Design,"ERTAN MOTORS""DAN 2016 MODEL OPEL ?NS?GN?A OTOMAT?K V?TES 136 HP",2016,105,Gri,"21 Ocak
                        2020",?stanbulEsenyurt,123.500 TL
6020,C-Elys�e,1.6 HDi  Exclusive,ORDU OTOMOT?V DEN C-Elysee 1.6 HDI Exclusive,2016,51,Beyaz,"20 Ocak
                        2020",Gaziantep?ehitkamil,76.750 TL
6021,Accent Blue,1.4 CVVT Mode,"V?ZYON OTOMOT?VDEN MASRAFSIZ 122,000KMDE 2011 MODEL ACCENT BLUE",2011,122,Siyah,"21 Ocak
                        2020",?stanbulEsenyurt,67.500 TL
6022,Rio,1.5 CRDi EX Comfort,Sahibinden1�amurluk�de?isen1karislokal boya kalan tamamen orjinal,2011,171.5,Beyaz,"16 Ocak
                        2020",AntalyaMuratpa?a,50.500 TL
6023,A4,A4 Sedan 1.8 TFSI,Hayat Plazadan 2010 Model Audi A4 Sedan 1.4 Tfsi 120 Hp Ful+Ful,2010,198,Lacivert,"20 Ocak
                        2020",SakaryaErenler,94.900 TL
6024,i20,1.4 CVVT Jump,Sahibinden hatas?z boyas?z 53 bin km de,2013,53,G�m�? Gri,"20 Ocak
                        2020",AntalyaMuratpa?a,83.750 TL
6025,C-Elys�e,1.2 VTi Confort,YAKIT C?MR?S? OTOMOT?K C-ELYSEE,2016,65,Gri,"18 Ocak
                        2020",KonyaSel�uklu,82.000 TL
6026,5 Serisi,520d Premium,?LK ELDEN HATASIZ 70.000 KMDE HAYALET + VAKUM +ELEKTR?KL? BAGAJ,2015,70,Gri,"09 Ocak
                        2020",?stanbulB�y�k�ekmece,331.000 TL
6027,C4,1.6 HDi SX,ENES AUTODAN C4,2008,160,Siyah,"21 Ocak
                        2020",KayseriKocasinan,37.500 TL
6028,Note,1.4 Tekna,2007 MODEL N?SSAN NOTE 1.4 TEKNA 24.000 TL PE??NATLA,2007,196,K?rm?z?,"21 Ocak
                        2020",SamsunBafra,39.900 TL
6029,C-Elys�e,1.6 HDi  Exclusive,Temiz aile arac?,2013,172,Beyaz,"19 Ocak
                        2020",AntalyaKepez,61.500 TL
6030,2,1.5 Sport,�ZEN MOTOR'S- MAZDA 2 - 1.5 SPORT 103 HP- 2010 MODEL - 66.500 KM,2010,66.5,F�me,"06 Ocak
                        2020",Gaziantep?ehitkamil,58.000 TL
6031,Palio,1.4 Fire Active Sole,temiz d�?�k kilometreli palio,2009,103,Gri,"22 Ocak
                        2020",BursaGemlik,38.000 TL
6032,E Serisi,E 250 CDI Avantgarde,MERCEDES E250CD? AVANTGARDE 4MAT?C BAY??,2012,200,Beyaz,"22 Ocak
                        2020",AnkaraEtimesgut,242.500 TL
6033,Mondeo,1.5 Ecoboost Titanium,2016 �IKI?LI NOKTA HATASIZ 45 B?NDE DYNAM?C LED FAR T?TANN?UM,2015,45,F�me,"16 Ocak
                        2020",SakaryaAdapazar?,148.900 TL
6034,Focus,1.6 TDCi Trend X,Sahibinden 1.6 ford focus,2011,254,Gri,"22 Ocak
                        2020",?zmirAlia?a,57.500 TL
6035,C4,1.6 SX,O B?R EFSANE,2007,203,Siyah,"22 Ocak
                        2020",DenizliMerkezefendi,32.500 TL
6036,3,1.6 Dynamic,sat?l?k mazda3 a�?klamay? okuyunuz,2006,194.4,Beyaz,"12 Ocak
                        2020",KocaeliKartepe,50.000 TL
6037,Primera,1.6 GX,nissan primera temiz masrafs?z,1998,245,Ye?il,"19 Ocak
                        2020",BursaY?ld?r?m,26.000 TL
6038,Sunny,1.6 EX,Porsche tamircisi den SUNNY,1994,200,Lacivert,"14 Ocak
                        2020",?zmirBornova,24.000 TL
6039,Palio,1.4 EL,�?retmenden de?i?ensiz 158 km orijinal temiz ara�,2000,158.1,Beyaz,"21 Ocak
                        2020",K�tahyaGediz,25.750 TL
6040,Accent Blue,1.4 D-CVVT Mode Plus,2016 MODEL HYUNDA? BLUE 52.000 KM HATASIZ,2016,52,Beyaz,"20 Ocak
                        2020",SivasMerkez,87.000 TL
6041,Astra,1.6 Comfort,EMSALS?Z OPEL ASTRA COMFORT,2003,197,Beyaz,"21 Ocak
                        2020",?anl?urfaSiverek,49.500 TL
6042,C-Elys�e,1.6 HDi  Attraction,�M?T OTO 2016 C?TROEN C-ELYSEE 1.6 HD? ATTRACT?ON,2016,109,Beyaz,"20 Ocak
                        2020",BursaNil�fer,71.000 TL
6043,Linea,1.3 Multijet Pop,2017 MODEL ORJ?NAL 54.000 KM'DE HATASIZ BOYASIZ 1.3 M.JET POP,2017,54,Beyaz,"21 Ocak
                        2020",AnkaraAkyurt,75.900 TL
6044,Civic,1.6 i ES,2000 1.6 ies tam g�venlik paket,2000,258,G�m�? Gri,"21 Ocak
                        2020",Zonguldak�aycuma,36.000 TL
6045,Civic,1.6 LSi,Honda Euro civic dolu paket,1997,238,Beyaz,"22 Ocak
                        2020",?zmir�demi?,27.000 TL
6046,5 Serisi,520d M Sport,Borusan �?k??l? Orjinal Msport 520d,2009,253,Beyaz,"20 Ocak
                        2020",KonyaEre?li,119.000 TL
6047,Civic,1.6 VTEC LS,141 binde �ok acil sat?l?kt?r. ?lk gelen al?r.,2005,141,G�m�? Gri,"21 Ocak
                        2020",AntalyaAksu,48.000 TL
6048,3 Serisi,320d Techno Plus,KLC MOTORS'TAN 3.20D DI? M SPORT EMSALS?Z TEM?ZL?KTE,2013,153,Beyaz,"21 Ocak
                        2020",?stanbulBa?c?lar,182.500 TL
6049,Astra,1.3 CDTI Enjoy Elegance,astra sahibinden temiz manuel vites,2009,213.3,Gri,"21 Ocak
                        2020",HatayK?r?khan,44.500 TL
6050,Astra,1.6 Sport,2011 MODEL ASTRA SPORT OTOMAT?K+B�Y�K EKRAN FULL+FULL,2011,97,Gri,"12 Ocak
                        2020",KonyaEre?li,79.000 TL
6051,3 Serisi,320d Premium,HATASIZ BOYASIZ 2015(2016�IKI?)3 .20D/PREM?UM/BA�Y?/SUNROF/?�DER?,2015,125,Siyah,"20 Ocak
                        2020",Ayd?nDidim,215.000 TL
6052,A6,A6 Sedan 2.0 TDI,DS AUTO ET?LER- 2012 AUD? A6 2.0 TDI DO?U? - EKSTRA DOLU,2012,180,Beyaz,"19 Ocak
                        2020",?stanbulBe?ikta?,247.500 TL
6053,Ceed,1.6 CRDi Comfort,2017 MODEL KIA CEED 1.6CRD? COMFORT BOYASIZ DE???ENS?Z.,2017,37,Beyaz,"15 Ocak
                        2020",MalatyaYe?ilyurt,122.000 TL
6054,Escort,1.6 CLX,OR?J?NAL TEM?Z BAKIMLI ESCORT LPG'L?,1999,94,Beyaz,"21 Ocak
                        2020",YozgatYerk�y,19.000 TL
6055,Civic,1.6i VTEC Eco Executive,hatas?z. orijinal. sigara dahi i�ilmemi?.,2018,9.5,Beyaz,"19 Ocak
                        2020",VanTu?ba,177.500 TL
6056,323,1.6 GLX,coook temizz OTOMAT?K,1990,327,Gri,"21 Ocak
                        2020",?stanbul�mraniye,14.850 TL
6057,Palio,1.4 EL,98.MODEL PALYO EL KIL?MALI,1998,245,Turuncu,"21 Ocak
                        2020",AntalyaManavgat,24.500 TL
6058,E Serisi,E 200 d Exclusive,SIFIR-BAY? �IK-YEN? E 200d EXCLUSIVE+COMAN�D+HAYALET+HEMEN TESL?M,2019,0,Gri,"21 Ocak
                        2020",?stanbulBa?c?lar,549.950 TL
6059,A6,A6 Sedan 2.0 TDI Quattro,VAKUM KOLTUK HAFIZA GER? G�R�? NAVIGASYON ELEKT BAGAJ PERDE 4X4,2016,109,Siyah,"20 Ocak
                        2020",?stanbulAvc?lar,373.950 TL
6060,Civic,1.6i VTEC Eco Elegance,2015 Makyajl? Kasa Temiz ?deal Bir Ara� Arayanlara...,2015,118,Beyaz,"20 Ocak
                        2020",?stanbul�mraniye,117.000 TL
6061,Albea,Sole 1.3 Multijet Dynamic,UYGUN TAKS?TLE ARA� SAH?B? OLMANIN EN KOLAY YOLU: ?NAL OTOMOTiV,2011,520,Beyaz,"15 Ocak
                        2020",AntalyaAlanya,22.900 TL
6062,Focus,1.6 Ambiente,sahibinden temiz de?i?en siz,2001,275,Beyaz,"21 Ocak
                        2020",VanEdremit,35.500 TL
6063,Rio,1.5 CRDi Trend,Sahibinden Sat?l?k Kia Rio 1.5 CRD?,2011,188.65,Beyaz,"19 Ocak
                        2020",AntalyaD�?emealt?,49.000 TL
6064,Insignia,1.6 CDTI  Sport,ARACIMIZ FULL+FULL PAKET?D?R,2016,114,Beyaz,"22 Ocak
                        2020",Mu?Bulan?k,143.000 TL
6065,Egea,1.3 Multijet Easy,2017MODEL 59000KMDE 1.3M.JET EASY HATASIZ,2017,59,Beyaz,"21 Ocak
                        2020",HatayAntakya,79.750 TL
6066,C-Elys�e,1.6 HDi  Attraction,�AR?I'DAN 2014 MODEL C-ELYSEE 1.6 HDI ATTRACT?ON,2014,215,Beyaz,"18 Ocak
                        2020",Ankara�ankaya,47.000 TL
6067,Rio,1.4 CRDi Comfort,2017 BOYADAH? YOK ORJ?NAK HER T�RL� TAKAS OLUR,2017,110,K?rm?z?,"16 Ocak
                        2020",?stanbulBa?c?lar,83.000 TL
6068,Ceed,1.6 CRDi Concept,YETK?L? BAY??DEN 2012 MODEL K?A CEED 1.6CRDi CONCEPT D?ZEL 128HP,2012,208,Siyah,"19 Ocak
                        2020",?stanbulAta?ehir,78.950 TL
6069,Micra,1.2 Street,Hatas?z Tam Otomatik Micra,2018,21,Mavi,"21 Ocak
                        2020",?stanbulBa?c?lar,92.000 TL
